objectid,title,filename,format,author,isbn,date,longitude,latitude,location,subject,steam_theme,grade_level,summary,activity_connection,learning_objective,activity_duration
1,The Dot,reynolds_thedot_2003.jpg,image,"Reynolds, Peter H.",9780763619619,2003,-93.6000,41.5900,"Des Moines, IA",art,Creativity; Growth mindset,K; 1; 2,A young girl discovers that making a simple mark can lead to creative confidence.,Students create dot artwork and expand designs.,Students will explore creative expression.,20–30 minutes
2,"Rosie Revere, Engineer",beaty_rosierevere_2013.jpg,image,"Beaty, Andrea",9781419708459,2013,-93.6000,41.5900,"Des Moines, IA",engineering,Problem-solving; Perseverance,1; 2; 3; 4,A girl learns failure is part of engineering.,Students build and test inventions.,Students will apply engineering design process.,30–45 minutes
3,Team Moon,thimmesh_teammoon_2006.jpg,image,"Thimmesh, Catherine",9780618507573,2006,-93.6000,41.5900,"Des Moines, IA",science; technology,Collaboration; Innovation,3; 4,Story of teamwork behind moon landing.,Students complete team design challenge.,Students will collaborate to solve problems.,30–45 minutes
4,The Most Magnificent Thing,spires_mostmagnificent_2014.jpg,image,"Spires, Ashley",9781554537044,2014,-93.6000,41.5900,"Des Moines, IA",engineering,Perseverance; Problem-solving,K; 1; 2,A girl learns persistence while creating an invention.,Students design and improve a simple creation.,Students will practice persistence in design.,30–45 minutes
5,The Magical Yet,diamond_magicalyet_2013.jpg,image,"Diamond, Angela",9781368025621,2013,-93.6000,41.5900,"Des Moines, IA",science,Growth mindset,K; 1; 2; 3,Encourages students to embrace challenges and keep trying.,Students complete a challenge emphasizing growth.,Students will develop a growth mindset.,20–30 minutes
6,Balloons Over Broadway,sweet_balloons_2011.jpg,image,"Sweet, Melissa",9780547199450,2011,-93.6000,41.5900,"Des Moines, IA",engineering; art,Creativity; Innovation,1; 2; 3,Story of Macy’s Parade balloon creator.,Students design balloon prototypes.,Students will explore design and creativity.,30–45 minutes
7,"Ada Twist, Scientist",beaty_adatwist_2016.jpg,image,"Beaty, Andrea",9781419721373,2016,-93.6000,41.5900,"Des Moines, IA",science,Curiosity; Inquiry,K; 1; 2,A curious girl explores scientific questions.,Students conduct simple experiments.,Students will ask and investigate questions.,20–30 minutes
8,"Iggy Peck, Architect",beaty_iggypeck_2007.jpg,image,"Beaty, Andrea",9780810911062,2007,-93.6000,41.5900,"Des Moines, IA",engineering,Design thinking,1; 2; 3,A boy loves building structures.,Students build structures with materials.,Students will explore structural design.,30–45 minutes
9,"Sofia Valdez, Future Prez",beaty_sofia_2019.jpg,image,"Beaty, Andrea",9781419737046,2019,-93.6000,41.5900,"Des Moines, IA",technology,Leadership; Problem-solving,1; 2; 3,A girl works to improve her community.,Students design community solutions.,Students will develop problem-solving skills.,30–45 minutes
10,National Geographic Kids: Robots,ng_robots.jpg,image,National Geographic Kids,9781426323317,2016,-93.6000,41.5900,"Des Moines, IA",technology,Innovation,2; 3; 4,Introduces robots and technology.,Students design simple robot models.,Students will understand basic robotics concepts.,30–45 minutes
